timestamp,pair,rate,base
2026-05-01 14:38:43,USD/IRR,1233794.062752,USD
2026-05-01 14:38:43,USD/MXN,17.502106,USD
2026-05-01 14:38:43,USD/BRL,4.990919,USD
2026-05-01 14:38:43,USD/CAD,1.361227,USD
2026-05-01 14:38:43,USD/IDR,17308.21837,USD
2026-05-01 14:38:43,USD/GBP,0.737561,USD
2026-05-01 14:38:43,USD/KRW,1475.699372,USD
2026-05-01 14:38:43,USD/AED,3.6725,USD
2026-05-01 15:07:25,USD/PHP,61.435668,USD
2026-05-01 15:07:25,USD/SAR,3.75,USD
2026-05-01 15:07:25,USD/EUR,0.853339,USD
2026-05-01 15:07:25,USD/CAD,1.361227,USD
2026-05-01 15:07:25,USD/AED,3.6725,USD
2026-05-01 15:07:25,USD/JPY,157.16387,USD
2026-05-01 15:07:25,USD/GBP,0.737561,USD
2026-05-01 15:07:25,USD/IRR,1233794.062752,USD
2026-05-01 15:07:25,USD/INR,94.978597,USD
2026-05-01 15:07:25,USD/CNY,6.840908,USD
2026-05-01 15:07:25,USD/IDR,17308.21837,USD
2026-05-01 15:07:25,USD/KRW,1475.699372,USD
2026-05-01 15:07:25,USD/KWD,0.307958,USD
2026-05-01 15:07:25,USD/MXN,17.502106,USD
2026-05-01 15:07:25,USD/NOK,9.291767,USD
2026-05-01 15:07:25,USD/BRL,4.990919,USD
2026-05-01 15:09:17,USD/INR,94.978597,USD
2026-05-01 15:09:17,USD/AED,3.6725,USD
2026-05-01 15:09:17,USD/CAD,1.361227,USD
2026-05-01 15:09:17,USD/GBP,0.737561,USD
2026-05-01 15:09:17,USD/EUR,0.853339,USD
2026-05-01 15:09:17,USD/IDR,17308.21837,USD
2026-05-01 15:09:17,USD/KWD,0.307958,USD
2026-05-01 15:09:17,USD/KRW,1475.699372,USD
2026-05-01 15:09:17,USD/CNY,6.840908,USD
2026-05-01 15:09:17,USD/NOK,9.291767,USD
2026-05-01 15:09:17,USD/PHP,61.435668,USD
2026-05-01 15:09:17,USD/BRL,4.990919,USD
2026-05-01 15:09:17,USD/JPY,157.16387,USD
2026-05-01 15:09:17,USD/MXN,17.502106,USD
2026-05-01 15:09:17,USD/SAR,3.75,USD
2026-05-01 15:09:17,USD/IRR,1233794.062752,USD
2026-05-01 15:34:52,USD/MXN,17.502106,USD
2026-05-01 15:34:52,USD/IRR,1233794.062752,USD
2026-05-01 15:34:52,USD/EUR,0.853339,USD
2026-05-01 15:34:52,USD/NOK,9.291767,USD
2026-05-01 15:34:52,USD/KWD,0.307958,USD
2026-05-01 15:34:52,USD/JPY,157.16387,USD
2026-05-01 15:34:52,USD/GBP,0.737561,USD
2026-05-01 15:34:52,USD/BRL,4.990919,USD
2026-05-01 15:34:52,USD/IDR,17308.21837,USD
2026-05-01 15:34:52,USD/CAD,1.361227,USD
2026-05-01 15:34:52,USD/AED,3.6725,USD
2026-05-01 15:34:52,USD/PHP,61.435668,USD
2026-05-01 15:34:52,USD/KRW,1475.699372,USD
2026-05-01 15:34:52,USD/CNY,6.840908,USD
2026-05-01 15:34:52,USD/INR,94.978597,USD
2026-05-01 15:34:52,USD/SAR,3.75,USD
2026-05-01 16:02:46,USD/JPY,157.16387,USD
2026-05-01 16:02:46,USD/GBP,0.737561,USD
2026-05-01 16:02:46,USD/NOK,9.291767,USD
2026-05-01 16:02:46,USD/KWD,0.307958,USD
2026-05-01 16:02:46,USD/SAR,3.75,USD
2026-05-01 16:02:46,USD/IRR,1233794.062752,USD
2026-05-01 16:02:46,USD/PHP,61.435668,USD
2026-05-01 16:02:46,USD/INR,94.978597,USD
2026-05-01 16:02:46,USD/BRL,4.990919,USD
2026-05-01 16:02:46,USD/CNY,6.840908,USD
2026-05-01 16:02:46,USD/EUR,0.853339,USD
2026-05-01 16:02:46,USD/AED,3.6725,USD
2026-05-01 16:02:46,USD/KRW,1475.699372,USD
2026-05-01 16:02:46,USD/MXN,17.502106,USD
2026-05-01 16:02:46,USD/CAD,1.361227,USD
2026-05-01 16:02:46,USD/IDR,17308.21837,USD
2026-05-01 16:33:04,USD/CAD,1.361227,USD
2026-05-01 16:33:04,USD/KWD,0.307958,USD
2026-05-01 16:33:04,USD/AED,3.6725,USD
2026-05-01 16:33:04,USD/JPY,157.16387,USD
2026-05-01 16:33:04,USD/IDR,17308.21837,USD
2026-05-01 16:33:04,USD/MXN,17.502106,USD
2026-05-01 16:33:04,USD/NOK,9.291767,USD
2026-05-01 16:33:04,USD/GBP,0.737561,USD
2026-05-01 16:33:04,USD/SAR,3.75,USD
2026-05-01 16:33:04,USD/INR,94.978597,USD
2026-05-01 16:33:04,USD/IRR,1233794.062752,USD
2026-05-01 16:33:04,USD/CNY,6.840908,USD
2026-05-01 16:33:04,USD/PHP,61.435668,USD
2026-05-01 16:33:04,USD/KRW,1475.699372,USD
2026-05-01 16:33:04,USD/BRL,4.990919,USD
2026-05-01 16:33:04,USD/EUR,0.853339,USD
2026-05-01 17:02:56,USD/AED,3.6725,USD
2026-05-01 17:02:56,USD/PHP,61.435668,USD
2026-05-01 17:02:56,USD/IRR,1233794.062752,USD
2026-05-01 17:02:56,USD/IDR,17308.21837,USD
2026-05-01 17:02:56,USD/BRL,4.990919,USD
2026-05-01 17:02:56,USD/NOK,9.291767,USD
2026-05-01 17:02:56,USD/SAR,3.75,USD
2026-05-01 17:02:56,USD/KWD,0.307958,USD
2026-05-01 17:02:56,USD/KRW,1475.699372,USD
2026-05-01 17:02:56,USD/EUR,0.853339,USD
2026-05-01 17:02:56,USD/GBP,0.737561,USD
2026-05-01 17:02:56,USD/CAD,1.361227,USD
2026-05-01 17:02:56,USD/MXN,17.502106,USD
2026-05-01 17:02:56,USD/INR,94.978597,USD
2026-05-01 17:02:56,USD/CNY,6.840908,USD
2026-05-01 17:02:56,USD/JPY,157.16387,USD
2026-05-01 17:33:25,USD/CAD,1.361227,USD
2026-05-01 17:33:25,USD/KWD,0.307958,USD
2026-05-01 17:33:25,USD/NOK,9.291767,USD
2026-05-01 17:33:25,USD/JPY,157.16387,USD
2026-05-01 17:33:25,USD/IRR,1233794.062752,USD
2026-05-01 17:33:25,USD/IDR,17308.21837,USD
2026-05-01 17:33:25,USD/KRW,1475.699372,USD
2026-05-01 17:33:25,USD/BRL,4.990919,USD
2026-05-01 17:33:25,USD/AED,3.6725,USD
2026-05-01 17:33:25,USD/PHP,61.435668,USD
2026-05-01 17:33:25,USD/GBP,0.737561,USD
2026-05-01 17:33:25,USD/SAR,3.75,USD
2026-05-01 17:33:25,USD/MXN,17.502106,USD
2026-05-01 17:33:25,USD/EUR,0.853339,USD
2026-05-01 17:33:25,USD/CNY,6.840908,USD
2026-05-01 17:33:25,USD/INR,94.978597,USD
2026-05-01 18:03:11,USD/INR,94.978597,USD
2026-05-01 18:03:11,USD/KWD,0.307958,USD
2026-05-01 18:03:11,USD/BRL,4.990919,USD
2026-05-01 18:03:11,USD/AED,3.6725,USD
2026-05-01 18:03:11,USD/NOK,9.291767,USD
2026-05-01 18:03:11,USD/CNY,6.840908,USD
2026-05-01 18:03:11,USD/JPY,157.16387,USD
2026-05-01 18:03:11,USD/CAD,1.361227,USD
2026-05-01 18:03:11,USD/MXN,17.502106,USD
2026-05-01 18:03:11,USD/EUR,0.853339,USD
2026-05-01 18:03:11,USD/IRR,1233794.062752,USD
2026-05-01 18:03:11,USD/KRW,1475.699372,USD
2026-05-01 18:03:11,USD/IDR,17308.21837,USD
2026-05-01 18:03:11,USD/GBP,0.737561,USD
2026-05-01 18:03:11,USD/SAR,3.75,USD
2026-05-01 18:03:11,USD/PHP,61.435668,USD
2026-05-01 18:36:41,USD/BRL,4.990919,USD
2026-05-01 18:36:41,USD/GBP,0.737561,USD
2026-05-01 18:36:41,USD/INR,94.978597,USD
2026-05-01 18:36:41,USD/IDR,17308.21837,USD
2026-05-01 18:36:41,USD/CAD,1.361227,USD
2026-05-01 18:36:41,USD/PHP,61.435668,USD
2026-05-01 18:36:41,USD/AED,3.6725,USD
2026-05-01 18:36:41,USD/CNY,6.840908,USD
2026-05-01 18:36:41,USD/SAR,3.75,USD
2026-05-01 18:36:41,USD/EUR,0.853339,USD
2026-05-01 18:36:41,USD/NOK,9.291767,USD
2026-05-01 18:36:41,USD/KWD,0.307958,USD
2026-05-01 18:36:41,USD/JPY,157.16387,USD
2026-05-01 18:36:41,USD/MXN,17.502106,USD
2026-05-01 18:36:41,USD/IRR,1233794.062752,USD
2026-05-01 18:36:41,USD/KRW,1475.699372,USD
2026-05-01 19:07:00,USD/EUR,0.853339,USD
2026-05-01 19:07:00,USD/IRR,1233794.062752,USD
2026-05-01 19:07:00,USD/MXN,17.502106,USD
2026-05-01 19:07:00,USD/JPY,157.16387,USD
2026-05-01 19:07:00,USD/AED,3.6725,USD
2026-05-01 19:07:00,USD/SAR,3.75,USD
2026-05-01 19:07:00,USD/CNY,6.840908,USD
2026-05-01 19:07:00,USD/KWD,0.307958,USD
2026-05-01 19:07:00,USD/PHP,61.435668,USD
2026-05-01 19:07:00,USD/INR,94.978597,USD
2026-05-01 19:07:00,USD/IDR,17308.21837,USD
2026-05-01 19:07:00,USD/NOK,9.291767,USD
2026-05-01 19:07:00,USD/KRW,1475.699372,USD
2026-05-01 19:07:00,USD/CAD,1.361227,USD
2026-05-01 19:07:00,USD/BRL,4.990919,USD
2026-05-01 19:07:00,USD/GBP,0.737561,USD
2026-05-01 19:42:04,USD/KRW,1475.699372,USD
2026-05-01 19:42:04,USD/MXN,17.502106,USD
2026-05-01 19:42:04,USD/AED,3.6725,USD
2026-05-01 19:42:04,USD/INR,94.978597,USD
2026-05-01 19:42:04,USD/BRL,4.990919,USD
2026-05-01 19:42:04,USD/IDR,17308.21837,USD
2026-05-01 19:42:04,USD/GBP,0.737561,USD
2026-05-01 19:42:04,USD/CNY,6.840908,USD
2026-05-01 19:42:04,USD/EUR,0.853339,USD
2026-05-01 19:42:04,USD/PHP,61.435668,USD
2026-05-01 19:42:04,USD/NOK,9.291767,USD
2026-05-01 19:42:04,USD/IRR,1233794.062752,USD
2026-05-01 19:42:04,USD/JPY,157.16387,USD
2026-05-01 19:42:04,USD/KWD,0.307958,USD
2026-05-01 19:42:04,USD/SAR,3.75,USD
2026-05-01 19:42:04,USD/CAD,1.361227,USD
